,BatchBased,ProtoNet,BatchBased,ProtoNet,BatchBased,ProtoNet
Run,Seen,Seen,Unseen,Unseen,HM,HM
nway-3_unseen-1_kshot-01,78.60±0.22,76.42±0.19,70.13±0.46,74.23±0.38,71.36±0.35,73.74±0.28
nway-3_unseen-1_kshot-05,84.54±0.15,81.92±0.14,74.50±0.47,79.14±0.36,76.51±0.36,79.13±0.26
nway-3_unseen-1_kshot-15,86.31±0.13,83.02±0.13,80.42±0.41,80.19±0.36,81.29±0.30,80.18±0.25
nway-3_unseen-2_kshot-01,81.44±0.30,78.67±0.25,60.50±0.22,59.85±0.18,68.13±0.21,67.11±0.17
nway-3_unseen-2_kshot-05,84.92±0.22,83.91±0.20,70.67±0.19,62.37±0.15,76.46±0.16,71.00±0.13
nway-3_unseen-2_kshot-15,86.24±0.20,84.53±0.21,76.51±0.17,62.38±0.14,80.60±0.15,71.31±0.13
nway-3_unseen-3_kshot-01,,,56.91±0.14,57.02±0.12,56.91±0.14,57.02±0.12
nway-3_unseen-3_kshot-05,,,64.96±0.13,60.06±0.10,64.96±0.13,60.06±0.10
nway-3_unseen-3_kshot-15,,,71.21±0.11,60.95±0.09,71.21±0.11,60.95±0.09
nway-4_unseen-1_kshot-01,78.12±0.17,75.91±0.16,69.78±0.38,74.60±0.27,72.08±0.28,74.57±0.19
nway-4_unseen-1_kshot-05,84.32±0.11,81.72±0.11,79.02±0.32,79.08±0.25,80.55±0.22,79.79±0.17
nway-4_unseen-1_kshot-15,86.44±0.09,83.18±0.10,84.10±0.24,79.82±0.25,84.69±0.16,80.86±0.17
nway-4_unseen-2_kshot-01,80.13±0.17,76.77±0.17,62.45±0.21,61.82±0.18,69.52±0.16,68.01±0.14
nway-4_unseen-2_kshot-05,85.24±0.11,82.49±0.11,72.66±0.16,64.57±0.15,78.11±0.11,72.15±0.10
nway-4_unseen-2_kshot-15,87.02±0.10,83.43±0.10,77.82±0.14,64.60±0.13,81.92±0.10,72.57±0.10
nway-4_unseen-3_kshot-01,82.08±0.28,79.06±0.24,59.54±0.15,59.75±0.13,68.11±0.16,67.39±0.14
nway-4_unseen-3_kshot-05,85.59±0.20,84.40±0.19,68.34±0.12,62.55±0.11,75.56±0.12,71.42±0.10
nway-4_unseen-3_kshot-15,86.97±0.19,85.30±0.19,73.82±0.11,62.94±0.11,79.53±0.11,72.04±0.10
nway-4_unseen-4_kshot-01,,,57.47±0.11,58.45±0.10,57.47±0.11,58.45±0.10
nway-4_unseen-4_kshot-05,,,64.94±0.10,61.69±0.08,64.94±0.10,61.69±0.08
nway-4_unseen-4_kshot-15,,,70.68±0.09,62.58±0.08,70.68±0.09,62.58±0.08
nway-5_unseen-1_kshot-01,77.87±0.14,75.71±0.14,70.80±0.34,74.99±0.23,72.89±0.24,74.91±0.16
nway-5_unseen-1_kshot-05,84.11±0.09,81.73±0.10,82.08±0.23,79.25±0.20,82.63±0.15,80.15±0.13
nway-5_unseen-1_kshot-15,86.32±0.08,83.26±0.09,85.97±0.16,80.22±0.20,85.93±0.10,81.41±0.13
nway-5_unseen-2_kshot-01,79.09±0.14,76.12±0.14,63.63±0.19,62.95±0.16,70.03±0.14,68.55±0.13
nway-5_unseen-2_kshot-05,84.67±0.09,82.12±0.09,74.01±0.14,66.36±0.13,78.75±0.09,73.20±0.10
nway-5_unseen-2_kshot-15,86.56±0.07,83.32±0.08,78.74±0.12,66.74±0.12,82.31±0.08,73.94±0.09
nway-5_unseen-3_kshot-01,80.75±0.16,77.12±0.16,60.79±0.15,60.99±0.14,68.94±0.12,67.78±0.12
nway-5_unseen-3_kshot-05,85.68±0.10,82.92±0.10,69.98±0.12,64.29±0.11,76.84±0.08,72.24±0.08
nway-5_unseen-3_kshot-15,87.36±0.09,83.94±0.09,75.01±0.10,64.76±0.10,80.58±0.07,72.95±0.08
nway-5_unseen-4_kshot-01,82.55±0.26,79.03±0.23,59.23±0.12,60.28±0.12,68.25±0.14,67.80±0.13
nway-5_unseen-4_kshot-05,86.01±0.19,84.77±0.17,67.59±0.10,63.60±0.10,75.33±0.10,72.31±0.09
nway-5_unseen-4_kshot-15,87.48±0.17,85.78±0.17,72.81±0.08,64.19±0.10,79.21±0.09,73.08±0.08
nway-5_unseen-5_kshot-01,,,58.10±0.10,59.84±0.08,58.10±0.10,59.84±0.08
nway-5_unseen-5_kshot-05,,,65.45±0.08,63.32±0.06,65.45±0.08,63.32±0.06
nway-5_unseen-5_kshot-15,,,70.77±0.07,64.20±0.06,70.77±0.07,64.20±0.06
