Run,BatchBased_Seen,ProtoNet_Seen,BatchBased_Unseen,ProtoNet_Unseen,BatchBased_HM,ProtoNet_HM
nway-3_unseen-1_kshot-01,76.24±0.22,76.42±0.19,66.95±0.44,74.23±0.38,68.72±0.33,73.74±0.28
nway-3_unseen-1_kshot-05,82.32±0.16,81.92±0.14,71.77±0.46,79.14±0.36,74.02±0.34,79.13±0.26
nway-3_unseen-1_kshot-15,84.14±0.14,83.02±0.13,78.08±0.41,80.19±0.36,78.99±0.30,80.18±0.25
nway-3_unseen-1_kshot-30,84.44±0.13,82.82±0.14,81.91±0.37,80.67±0.35,81.59±0.26,80.40±0.24
nway-3_unseen-2_kshot-01,79.57±0.31,78.67±0.25,59.68±0.21,59.85±0.18,66.92±0.21,67.11±0.17
nway-3_unseen-2_kshot-05,83.27±0.23,83.91±0.20,68.18±0.19,62.37±0.15,74.24±0.17,71.00±0.13
nway-3_unseen-2_kshot-15,84.41±0.22,84.53±0.21,74.01±0.17,62.38±0.14,78.32±0.15,71.31±0.13
nway-3_unseen-2_kshot-30,84.92±0.22,84.48±0.22,76.82±0.16,62.01±0.13,80.16±0.15,71.07±0.13
nway-3_unseen-3_kshot-01,,,56.47±0.13,57.02±0.12,56.47±0.13,57.02±0.12
nway-3_unseen-3_kshot-05,,,62.90±0.13,60.06±0.10,62.90±0.13,60.06±0.10
nway-3_unseen-3_kshot-15,,,68.75±0.12,60.95±0.09,68.75±0.12,60.95±0.09
nway-3_unseen-3_kshot-30,,,72.14±0.11,61.27±0.09,72.14±0.11,61.27±0.09
nway-4_unseen-1_kshot-01,75.39±0.17,75.91±0.16,66.48±0.37,74.60±0.27,69.06±0.27,74.57±0.19
nway-4_unseen-1_kshot-05,81.66±0.12,81.72±0.11,76.36±0.32,79.08±0.25,77.87±0.22,79.79±0.17
nway-4_unseen-1_kshot-15,83.92±0.10,83.18±0.10,81.58±0.26,79.82±0.25,82.05±0.18,80.86±0.17
nway-4_unseen-1_kshot-30,84.57±0.09,83.13±0.10,83.52±0.23,80.00±0.24,83.55±0.15,80.99±0.16
nway-4_unseen-2_kshot-01,77.59±0.18,76.77±0.17,61.25±0.20,61.82±0.18,67.79±0.16,68.01±0.14
nway-4_unseen-2_kshot-05,82.95±0.12,82.49±0.11,70.15±0.16,64.57±0.15,75.64±0.11,72.15±0.10
nway-4_unseen-2_kshot-15,84.75±0.11,83.43±0.10,75.50±0.15,64.60±0.13,79.58±0.10,72.57±0.10
nway-4_unseen-2_kshot-30,85.67±0.11,83.51±0.10,78.05±0.14,64.26±0.13,81.45±0.10,72.38±0.09
nway-4_unseen-3_kshot-01,80.22±0.28,79.06±0.24,58.92±0.14,59.75±0.13,67.05±0.16,67.39±0.14
